category_name_en,elasticity,r_value,p_value,n_obs
office_furniture,-1.379327310693079,-0.4308928181260023,3.8446735891711545e-05,85
watches_gifts,-0.9716021902749755,-0.32224233337286573,0.002200154549587298,88
diapers_and_hygiene,-0.5793954179605014,-0.4624973274704905,0.026276473234402062,23
cool_stuff,-0.4940476596356147,-0.16432818039086122,0.12603791082049107,88
cds_dvds_musicals,-0.4712404616325605,-0.24999999999999997,0.48604202270507824,10
books_technical,-0.4496540524586081,-0.3358643648374095,0.00995081914974945,58
electronics,-0.4464648606659849,-0.1986781662612681,0.07002666144900199,84
furniture_bedroom,-0.33309627102035394,-0.32996759319500296,0.01804608633326451,51
books_general_interest,-0.33158326315569875,-0.20691057701515714,0.06216331266047013,82
construction_tools_lights,-0.33156605428354174,-0.20082369731308666,0.18590876107490806,45
industry_commerce_and_business,-0.3308430798096715,-0.27433268332280814,0.038915178586262186,57
furniture_mattress_and_upholstery,-0.28606178680317057,-0.2884862772961823,0.171588856018902,24
fashio_female_clothing,-0.1450091495769888,-0.15620410850895128,0.41841826710936947,29
construction_tools_safety,-0.11891267655196468,-0.14775876017490996,0.31097168408180087,49
health_beauty,-0.11675876648243956,-0.03548601986951431,0.7398524842410032,90
fashion_shoes,-0.11346120054672042,-0.09879479092098643,0.3926424699423102,77
food,-0.10695705926025914,-0.05808404182361325,0.6158273747366951,77
books_imported,-0.08629040602352153,-0.11837027991905394,0.5187734669498968,32
computers,-0.07389642449420815,-0.04292398603618364,0.7952816857039453,39
flowers,-0.05696140583444803,-0.04127701588857831,0.8708179382470733,18
small_appliances_home_oven_and_coffee,-0.054578964082833074,-0.09204645518902362,0.6413236887746553,28
fashion_male_clothing,-0.03387705102545164,-0.031771587997784366,0.8128448028277585,58
garden_tools,-0.021528991949590313,-0.010850750109989607,0.9200771110381447,88
dvds_blu_ray,-0.016066523956154665,-0.044997231624743825,0.7691360593463394,45
la_cuisine,-0.012439644210460165,-0.0290504637824538,0.9285890081118767,12
signaling_and_security,0.02166435176651015,0.024659645288446413,0.856837638927714,56
fashion_underwear_beach,0.02276580524896742,0.03622120500209677,0.785347623146395,59
home_construction,0.027250633904863666,0.015924672382763357,0.895898212873557,70
cine_photo,0.0329639028423191,0.04168878023182759,0.8092374443272234,36
drinks,0.03667789362188589,0.02423764687804254,0.8566841985759162,58
music,0.04293594157208476,0.15300076544661942,0.43699035066666214,28
costruction_tools_tools,0.05401935249539348,0.08172554624666832,0.630615630754803,37
party_supplies,0.06197232548207611,0.11787477932376879,0.5663122259276732,26
small_appliances,0.06589443951338297,0.06903687525220308,0.5301256818933688,85
market_place,0.09439913204426127,0.08783732840608673,0.4268944435383667,84
art,0.10406178030661804,0.10105363040216067,0.44632721375958717,59
home_comfort_2,0.10520100595169178,0.16161201711636802,0.5086169549520347,19
christmas_supplies,0.11686458169533973,0.11546929584395182,0.42948867405199276,49
consoles_games,0.1378991588387398,0.11444440835135125,0.2855579468804723,89
agro_industry_and_commerce,0.13805309631415855,0.2230004231263074,0.08677561670310269,60
fixed_telephony,0.1598840718711727,0.26961250665961367,0.016267860306277446,79
tablets_printing_image,0.171974943205068,0.1776895181456068,0.24290515187562575,45
air_conditioning,0.2178798133728344,0.24238118469025077,0.036155116557932104,75
home_appliances,0.24097594098968714,0.1597996494519061,0.16792811818978165,76
fashion_sport,0.25225533822848945,0.29264538972445564,0.1862810843557903,22
housewares,0.2678923394463794,0.09479653700565596,0.37965291811496404,88
costruction_tools_garden,0.2711578338198156,0.30096414205800703,0.014844833287448997,65
toys,0.27732486625404007,0.08923931737901859,0.4056111898420264,89
audio,0.28097072203547985,0.2824284272752873,0.010146334028449349,82
musical_instruments,0.3044957976594959,0.28046885234542746,0.010704192691996708,82
furniture_living_room,0.31646544001276294,0.1905384077453253,0.09256960521206828,79
kitchen_dining_laundry_garden_furniture,0.3351895218665432,0.3373098320170661,0.004019939777037088,71
home_appliances_2,0.3365678428147289,0.4103670981013362,0.0003433182893750646,72
stationery,0.3407387097632977,0.12647184477938972,0.24590409542487715,86
auto,0.39549946492871474,0.1764624625501899,0.10004627532787855,88
home_confort,0.3992392628665789,0.22732644176534994,0.04678206170279143,77
food_drink,0.41535655566374496,0.34254284138658514,0.004244928661135101,68
perfumery,0.5149482369961268,0.25940953878979595,0.015253449698501044,87
pet_shop,0.5344071154904824,0.336302662994431,0.0013574718585798796,88
luggage_accessories,0.6105654049099132,0.3854182976209853,0.0002941247683660942,84
computers_accessories,0.6676952816848183,0.2678478350185148,0.011636172108825603,88
telephony,0.8197793449495256,0.5262464161600494,1.3957035926723654e-07,88
baby,0.8828451295007281,0.48154401920517614,2.0373499360595933e-06,88
fashion_bags_accessories,1.022478616943126,0.4794406454074033,1.7450341477926739e-06,90
sports_leisure,1.0348615840077686,0.2802151602266455,0.008186830104833266,88
construction_tools_construction,1.0817194972078685,0.5098602069482955,1.0479712667825428e-05,67
furniture_decor,1.2929255457615065,0.3564949531880949,0.0006057719794058294,89
bed_bath_table,3.2910371182722904,0.4175438115890904,5.178752484768059e-05,88
