category_name_en,week,units_sold,revenue,avg_price,month,week_of_year
agro_industry_and_commerce,2017-01-23,2,43.98,21.99,1,4
agro_industry_and_commerce,2017-01-30,2,43.98,21.99,1,5
agro_industry_and_commerce,2017-02-06,2,114.89,57.445,2,6
agro_industry_and_commerce,2017-02-13,3,65.97,21.99,2,7
agro_industry_and_commerce,2017-02-20,1,21.99,21.99,2,8
agro_industry_and_commerce,2017-03-13,1,59.99,59.99,3,11
agro_industry_and_commerce,2017-03-20,1,22.0,22.0,3,12
agro_industry_and_commerce,2017-05-01,1,59.99,59.99,5,18
agro_industry_and_commerce,2017-05-08,1,589.99,589.99,5,19
agro_industry_and_commerce,2017-05-15,1,869.97,869.97,5,20
agro_industry_and_commerce,2017-05-22,1,59.99,59.99,5,21
agro_industry_and_commerce,2017-06-26,1,1390.0,1390.0,6,26
agro_industry_and_commerce,2017-07-10,1,1180.0,1180.0,7,28
agro_industry_and_commerce,2017-08-28,4,88.0,22.0,8,35
agro_industry_and_commerce,2017-09-04,1,398.0,398.0,9,36
agro_industry_and_commerce,2017-09-11,1,799.99,799.99,9,37
agro_industry_and_commerce,2017-09-18,2,796.0,398.0,9,38
agro_industry_and_commerce,2017-10-02,1,35.0,35.0,10,40
agro_industry_and_commerce,2017-10-09,1,22.0,22.0,10,41
agro_industry_and_commerce,2017-10-16,1,849.98,849.98,10,42
agro_industry_and_commerce,2017-10-23,2,2443.3,1221.65,10,43
agro_industry_and_commerce,2017-11-06,2,1334.99,667.495,11,45
agro_industry_and_commerce,2017-11-13,4,1610.0,402.5,11,46
agro_industry_and_commerce,2017-11-20,11,10549.6,959.0545454545455,11,47
agro_industry_and_commerce,2017-11-27,3,862.9,287.6333333333333,11,48
agro_industry_and_commerce,2017-12-04,4,1193.9,298.475,12,49
agro_industry_and_commerce,2017-12-18,3,3019.0,1006.3333333333334,12,51
agro_industry_and_commerce,2017-12-25,3,653.8,217.9333333333333,12,52
agro_industry_and_commerce,2018-01-01,4,2378.0,594.5,1,1
agro_industry_and_commerce,2018-01-08,4,1657.44,414.36,1,2
agro_industry_and_commerce,2018-01-15,6,916.0,152.66666666666666,1,3
agro_industry_and_commerce,2018-01-22,2,78.0,39.0,1,4
agro_industry_and_commerce,2018-01-29,6,1702.5,283.75,1,5
agro_industry_and_commerce,2018-02-05,8,1939.3,242.4125,2,6
agro_industry_and_commerce,2018-02-12,3,1373.0,457.6666666666667,2,7
agro_industry_and_commerce,2018-02-19,4,1347.5,336.875,2,8
agro_industry_and_commerce,2018-02-26,9,1901.5,211.27777777777777,2,9
agro_industry_and_commerce,2018-03-05,5,1293.0,258.6,3,10
agro_industry_and_commerce,2018-03-12,6,914.0,152.33333333333334,3,11
agro_industry_and_commerce,2018-03-19,8,1469.5,183.6875,3,12
agro_industry_and_commerce,2018-03-26,5,1430.0,286.0,3,13
agro_industry_and_commerce,2018-04-02,3,935.5,311.8333333333333,4,14
agro_industry_and_commerce,2018-04-09,2,637.0,318.5,4,15
agro_industry_and_commerce,2018-04-16,3,2116.3,705.4333333333334,4,16
agro_industry_and_commerce,2018-04-23,4,811.9,202.975,4,17
agro_industry_and_commerce,2018-04-30,1,45.0,45.0,4,18
agro_industry_and_commerce,2018-05-07,5,2340.75,468.15,5,19
agro_industry_and_commerce,2018-05-14,1,429.0,429.0,5,20
agro_industry_and_commerce,2018-05-28,1,465.0,465.0,5,22
agro_industry_and_commerce,2018-06-04,2,1713.0,856.5,6,23
agro_industry_and_commerce,2018-06-11,2,295.0,147.5,6,24
agro_industry_and_commerce,2018-06-18,3,634.0,211.33333333333334,6,25
agro_industry_and_commerce,2018-06-25,3,873.8,291.26666666666665,6,26
agro_industry_and_commerce,2018-07-02,2,613.9,306.95,7,27
agro_industry_and_commerce,2018-07-16,13,3236.66,248.97384615384615,7,29
agro_industry_and_commerce,2018-07-23,10,2737.54,273.754,7,30
agro_industry_and_commerce,2018-07-30,9,3209.12,356.56888888888886,7,31
agro_industry_and_commerce,2018-08-06,4,833.7,208.425,8,32
agro_industry_and_commerce,2018-08-13,1,23.9,23.9,8,33
agro_industry_and_commerce,2018-08-20,6,1036.09,172.68166666666664,8,34
air_conditioning,2016-10-03,8,1349.29,168.66125,10,40
air_conditioning,2017-01-23,4,663.7,165.925,1,4
air_conditioning,2017-02-06,1,109.0,109.0,2,6
air_conditioning,2017-02-13,8,1856.4,232.05,2,7
air_conditioning,2017-02-20,2,439.9,219.95,2,8
air_conditioning,2017-02-27,2,889.98,444.99,2,9
air_conditioning,2017-03-06,5,2324.73,464.946,3,10
air_conditioning,2017-03-13,5,589.6,117.92,3,11
air_conditioning,2017-03-20,3,179.7,59.9,3,12
air_conditioning,2017-03-27,4,239.6,59.9,3,13
air_conditioning,2017-04-03,4,318.6,79.65,4,14
air_conditioning,2017-04-10,3,1426.73,475.57666666666665,4,15
air_conditioning,2017-04-17,4,427.8,106.95,4,16
air_conditioning,2017-04-24,2,199.3,99.65,4,17
air_conditioning,2017-05-01,3,377.0,125.66666666666667,5,18
air_conditioning,2017-05-08,2,411.89,205.945,5,19
air_conditioning,2017-05-15,1,25.99,25.99,5,20
air_conditioning,2017-05-29,1,99.99,99.99,5,22
air_conditioning,2017-06-05,5,730.6899999999999,146.13799999999998,6,23
air_conditioning,2017-06-12,1,25.99,25.99,6,24
air_conditioning,2017-06-19,3,423.9,141.29999999999998,6,25
air_conditioning,2017-06-26,2,903.9000000000001,451.95000000000005,6,26
air_conditioning,2017-07-03,1,10.9,10.9,7,27
air_conditioning,2017-07-10,1,125.9,125.9,7,28
air_conditioning,2017-07-17,2,1032.4,516.2,7,29
air_conditioning,2017-07-31,4,680.67,170.1675,7,31
air_conditioning,2017-08-07,3,378.9,126.3,8,32
air_conditioning,2017-08-14,3,630.06,210.01999999999998,8,33
